product_id,product_name,category
1,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology
2,"Novimex Executive Leather Armchair, Black",Furniture
3,"Nokia Smart Phone, with Caller ID",Technology
4,"Motorola Smart Phone, Cordless",Technology
5,"Sharp Wireless Fax, High-Speed",Technology
6,"Samsung Smart Phone, with Caller ID",Technology
7,"Novimex Executive Leather Armchair, Adjustable",Furniture
8,"Chromcraft Conference Table, Fully Assembled",Furniture
9,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies
10,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture
11,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies
12,"Bevis Conference Table, Fully Assembled",Furniture
13,"Cisco Smart Phone, with Caller ID",Technology
14,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture
15,"KitchenAid Microwave, White",Office Supplies
16,"Breville Refrigerator, Red",Office Supplies
17,Logitech diNovo Edge Keyboard,Technology
18,"Hoover Stove, Red",Office Supplies
19,"Brother Fax Machine, High-Speed",Technology
20,"KitchenAid Stove, White",Office Supplies
21,"Hon Computer Table, with Bottom Storage",Furniture
22,Apple iPhone 5S,Technology
23,"SAFCO Executive Leather Armchair, Black",Furniture
24,"KitchenAid Refrigerator, Black",Office Supplies
25,"Motorola Smart Phone, Full Size",Technology
26,"Hon Computer Table, Fully Assembled",Furniture
27,"Lesro Conference Table, with Bottom Storage",Furniture
28,"Hoover Stove, Red",Office Supplies
29,Apple iPhone 5,Technology
30,"Office Star Executive Leather Armchair, Red",Furniture
31,"Samsung Smart Phone, VoIP",Technology
32,"Okidata Inkjet, Wireless",Technology
33,HON 5400 Series Task Chairs for Big and Tall,Furniture
34,"Breville Stove, Red",Office Supplies
35,Bretford Rectangular Conference Table Tops,Furniture
36,"Apple Smart Phone, Full Size",Technology
37,Ativa V4110MDD Micro-Cut Shredder,Technology
38,Cubify CubeX 3D Printer Triple Head Print,Technology
39,"Brother Fax Machine, Laser",Technology
40,"Nokia Smart Phone, with Caller ID",Technology
41,"Motorola Smart Phone, Full Size",Technology
42,"Motorola Smart Phone, with Caller ID",Technology
43,"Sauder Classic Bookcase, Traditional",Furniture
44,"Motorola Smart Phone, Cordless",Technology
45,"Cuisinart Stove, Silver",Office Supplies
46,Ibico EPK-21 Electric Binding System,Office Supplies
47,"Office Star Executive Leather Armchair, Adjustable",Furniture
48,"Novimex Executive Leather Armchair, Red",Furniture
49,"Konica Inkjet, White",Technology
50,"Harbour Creations Executive Leather Armchair, Black",Furniture
51,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies
52,"Canon Copy Machine, Color",Technology
53,Hewlett Packard LaserJet 3310 Copier,Technology
