order_id,order_date,product_id,region_id,quantity,unit_price
1,2012-07-31,1,1,7,329.95
2,2013-02-05,2,2,9,412.16
3,2013-10-17,3,2,9,575.02
4,2013-01-28,4,3,5,578.5
5,2013-11-05,5,4,8,354.12
6,2013-06-28,6,2,5,572.54
7,2011-11-07,7,2,4,455.52
8,2012-04-14,8,2,6,874.14
9,2014-10-14,9,5,5,1016.79
10,2012-01-28,10,6,13,330.59
11,2011-04-05,11,6,5,832.81
12,2012-04-19,12,7,5,925.23
13,2011-12-27,13,8,4,654.24
14,2012-11-13,14,6,7,317.4
15,2013-06-06,15,9,12,308.46
16,2014-07-31,16,3,4,467.4
17,2014-11-03,17,6,9,249.99
18,2014-09-08,18,6,14,568.47
19,2014-01-31,19,2,9,285.07
20,2014-12-05,20,4,6,568.29
21,2012-08-08,21,8,4,494.43
22,2011-10-29,22,3,6,455.99
23,2011-05-02,23,9,6,459
24,2013-02-27,24,10,10,527.37
25,2014-07-31,25,10,4,428.46
26,2014-09-05,26,3,8,263.31
27,2011-12-17,27,9,2,857.58
28,2011-03-14,18,3,6,511.62
29,2013-03-11,29,5,8,519.86
30,2012-02-25,30,7,4,469.68
31,2011-12-28,31,11,5,339.33
32,2012-07-17,32,3,9,266.99
33,2012-10-15,33,3,5,490.69
34,2011-11-03,34,2,5,505.39
35,2011-12-12,35,5,12,300.9
36,2011-09-14,36,4,6,636.21
37,2011-09-14,37,1,4,699.99
38,2014-11-05,38,6,4,2000
39,2014-01-14,39,10,13,318.54
40,2011-01-10,3,2,5,575.02
41,2013-08-22,25,12,6,533.43
42,2014-11-11,42,7,7,645.54
43,2014-09-26,43,7,13,435.99
44,2012-12-13,4,10,9,642.78
45,2011-09-23,45,3,7,431.23
46,2011-09-23,46,3,5,1889.99
47,2013-03-08,47,3,5,418.5
48,2014-08-28,48,9,6,460.2
49,2014-05-01,49,7,7,310.59
50,2014-12-18,50,6,11,315.74
51,2012-06-16,9,1,3,1016.79
52,2014-09-18,52,8,8,263.58
53,2014-07-25,53,5,5,479.99
54,2011-12-17,54,9,5,439.5
55,2013-12-18,42,4,4,645.54
56,2012-05-30,56,7,4,381.63
57,2012-03-19,57,5,7,449.99
58,2012-05-25,58,7,2,872.67
59,2014-08-05,59,2,9,465.72
60,2014-08-24,60,6,13,335.99
61,2014-03-11,61,7,7,437.61
62,2012-11-08,62,1,4,1160.95
63,2014-08-11,63,3,7,639
64,2013-08-31,64,3,9,166.89
65,2014-01-18,23,9,11,459
66,2013-12-02,66,6,7,300.65
67,2014-12-07,61,6,5,437.61
68,2014-12-16,68,7,4,480.09
69,2014-11-20,63,10,4,426
70,2011-11-09,70,8,4,464.67
71,2013-06-07,14,9,7,471.18
72,2011-11-22,72,3,13,187.96
73,2013-03-29,14,4,8,476.1
74,2014-08-26,74,12,7,489.59
75,2012-09-20,75,10,6,573.62
76,2014-05-16,76,2,5,572.67
77,2012-03-16,9,6,5,1270.99
78,2013-11-24,78,3,10,148.74
79,2011-11-09,79,9,9,355.56
80,2011-10-28,48,7,5,460.2
81,2014-11-19,81,3,14,409.24
82,2014-10-28,82,4,14,378.66
83,2014-01-17,83,3,4,1360.99
84,2014-08-18,33,1,9,490.69
85,2013-01-29,25,3,5,643.98
86,2012-09-18,86,12,6,414.63
87,2013-11-23,87,4,4,566.61
88,2012-06-13,88,2,9,340.93
89,2013-10-28,89,7,9,414.27
90,2013-12-12,52,9,6,263.58
91,2012-05-25,3,7,3,638.91
92,2013-05-06,92,5,6,280.98
93,2013-12-02,93,3,5,486.43
94,2014-12-23,25,13,6,643.98
95,2013-01-28,30,12,7,352.26
96,2012-05-07,74,2,2,923.76
97,2013-11-27,89,3,7,414.27
98,2012-11-28,23,2,7,413.1
99,2012-09-29,99,3,9,224.09
100,2013-09-03,100,3,7,450.79
101,2013-07-26,25,4,6,642.69
102,2014-11-19,102,2,6,587.41
103,2012-06-19,103,3,4,541.82
104,2012-10-11,63,10,6,426
105,2011-08-09,105,3,5,293.85
106,2011-11-05,13,3,8,556.1
107,2014-11-07,107,5,7,290.98
108,2013-04-26,108,6,9,274.74
109,2013-12-26,16,2,8,467.4
110,2013-03-13,110,3,11,233.72
111,2013-04-17,111,1,7,1299.99
112,2012-04-05,112,3,9,319.53
113,2012-12-26,113,6,4,435.45
114,2013-04-18,114,2,5,320.33
115,2011-05-24,115,9,7,524.4
116,2012-05-22,116,5,7,424.76
117,2013-05-16,117,3,5,380.19
118,2011-12-06,118,5,7,180.19
119,2011-02-16,23,3,11,413.1
120,2013-05-31,120,9,4,363.78
121,2013-10-01,121,2,6,323.87
122,2011-12-14,122,1,4,1749.99
123,2013-12-18,123,3,13,760.98
124,2013-12-11,124,2,5,339.17
125,2014-03-18,125,3,6,251
126,2014-12-19,102,12,3,651.39
127,2011-12-20,127,6,7,320.64
128,2013-05-24,128,1,4,2099.99
129,2011-10-14,129,1,9,180.98
130,2014-09-18,130,6,7,173.31
131,2013-11-25,131,7,5,318.12
132,2013-11-07,132,9,9,258.96
133,2014-07-19,133,12,8,409.82
134,2012-08-16,25,12,7,534.5
135,2013-08-27,135,5,4,400.78
136,2012-01-11,136,12,10,363.76
137,2013-01-28,137,10,7,350.84
138,2012-06-14,138,9,8,128.09
139,2011-12-01,139,3,8,350.98
140,2013-06-25,140,5,4,1119.2
141,2012-12-06,141,6,14,164.14
142,2013-09-05,56,6,7,381.63
143,2014-09-18,63,4,6,639
144,2014-09-12,144,5,8,256.78
145,2012-08-03,24,12,8,437.72
146,2014-12-09,112,2,3,575.15
147,2012-10-25,19,9,5,316.74
148,2012-07-13,148,1,9,214.56
149,2013-08-27,149,2,7,394.34
150,2011-05-13,150,7,12,256.56
151,2011-11-03,87,3,7,283.31
152,2014-08-02,152,3,3,370.93
153,2011-09-20,153,3,10,361.65
154,2014-01-08,154,3,2,1529.99
155,2013-03-11,25,2,5,578.42
156,2012-02-02,102,3,5,652.68
157,2013-09-09,157,3,4,599.07
158,2014-04-09,158,3,13,239.78
159,2013-03-02,37,1,7,699.99
160,2014-03-19,87,10,5,377.74
161,2013-10-02,161,9,6,500.13
162,2013-01-12,162,6,7,543.09
163,2014-08-20,102,8,8,651.39
164,2011-12-17,164,9,3,452.01
165,2014-03-14,87,2,7,509.95
166,2013-03-26,166,3,5,257.49
167,2014-07-09,136,12,8,363.76
168,2013-06-11,168,12,9,347.38
169,2011-08-10,169,10,9,586.33
170,2014-03-17,103,12,5,529.08
171,2013-01-02,120,2,5,327.4
172,2013-11-26,172,1,5,900
173,2012-10-10,103,12,5,529.08
174,2014-10-23,174,1,8,299.95
175,2011-06-17,12,9,5,647.66
176,2014-04-03,120,10,7,327.4
177,2011-05-17,75,10,5,424.9
178,2014-02-11,81,8,6,459.63
179,2013-10-12,179,6,6,258.33
180,2011-09-19,122,6,3,875
181,2014-07-17,115,8,6,524.4
182,2014-11-22,182,3,11,223.33
183,2011-05-30,183,3,7,318.38
184,2014-04-01,53,6,5,599.99
185,2014-07-17,161,7,8,500.13
186,2014-08-29,36,3,9,541.88
187,2012-12-26,187,2,6,298.14
188,2014-11-11,59,7,7,517.47
189,2013-05-01,189,12,5,248.52
190,2011-08-16,190,10,7,636.15
191,2014-12-03,191,12,8,334.17
192,2013-06-25,81,2,5,409.24
193,2013-01-21,193,10,6,908.55
194,2013-10-22,46,5,3,1511.99
195,2014-07-12,195,12,4,430.57
196,2013-12-26,196,5,7,367.99
197,2014-09-01,197,3,2,503.71
198,2011-11-17,198,1,7,419.19
199,2011-06-07,199,2,9,513.81
200,2011-10-13,200,3,6,177.74
201,2013-06-10,201,9,4,239.4
202,2014-12-13,93,2,10,486.43
203,2014-10-13,203,1,5,430.98
204,2014-06-10,204,12,3,477.95
205,2011-02-15,205,4,14,198.9
206,2013-11-28,61,6,7,437.61
207,2014-06-18,207,1,5,680.9
208,2013-09-20,208,1,9,178.47
209,2011-08-09,63,11,6,340.8
210,2011-06-21,210,1,3,404.95
211,2012-08-02,211,9,4,380.25
212,2012-06-19,162,3,5,488.78
213,2012-07-16,213,5,6,224.78
214,2013-08-02,214,8,10,114.18
215,2014-05-22,215,7,9,207.33
216,2011-02-10,31,9,11,636.24
217,2013-09-27,217,6,3,363.75
218,2014-06-02,218,7,3,364.74
219,2013-09-30,219,2,4,330.16
220,2011-07-19,3,12,4,638.91
221,2014-08-14,221,8,8,437.34
222,2013-07-26,53,1,4,359.99
223,2014-10-31,88,9,6,378.81
224,2013-07-25,102,9,8,651.39
225,2014-10-07,42,7,4,645.54
226,2014-10-17,3,7,5,638.91
227,2013-12-03,50,2,4,426.25
228,2014-11-08,228,12,6,256.45
229,2013-06-10,7,9,3,460.44
230,2011-09-21,61,3,3,393.85
231,2011-06-21,14,3,4,424.06
232,2014-05-09,232,5,6,559.99
233,2014-09-23,11,1,7,666.25
234,2014-11-26,234,4,4,309.39
235,2012-03-30,75,4,2,637.35
236,2011-11-10,236,6,9,352.46
237,2014-08-22,237,1,6,717.59
238,2012-08-01,18,10,7,568.47
239,2014-12-23,239,3,7,226.67
240,2014-07-04,240,5,6,399.2
241,2014-11-21,60,1,3,419.99
242,2013-01-23,242,8,4,514.5
243,2011-05-21,243,12,7,362.84
244,2014-09-28,244,10,7,414.03
